"SA2,""latitude.y"",""longitude.y"""
"Richmond - Clarendon,-33.596128,150.788088"
"Windsor - Bligh Park,-33.64065345,150.813477190353"
"Yarramundi - Londonderry,-32.42848285,135.9870408"
"Erskine Park,-33.8086111,150.8013889"
"St Clair,-33.7983333,150.7844444"
"Rookwood Cemetery,-33.87562665,151.056092194345"
"Ermington - Rydalmere,-33.8109122,151.05061305"
"Oatlands - Dundas Valley,-38.0477713,149.21438615"
"Chester Hill - Sefton,-33.8840807,151.006330408084"
"Fairfield - East,-33.8747423,150.9721298"
"Granville - Clyde,-33.8533341,151.0117222"
"Guildford - South Granville,-33.8572590248029,151.006078046539"
"Guildford West - Merrylands West,-33.84212925,150.9669341"
"North Parramatta,-33.7952747,151.0116649"
"North Rocks,-33.7713052,151.020996"
"Northmead,-33.7844423,150.9983289"
"Toongabbie - Constitution Hill,-33.79723375,150.980161030812"
"Winston Hills,-33.7761098,150.9816606"
"Pennant Hills - Cheltenham,-35.8527372,148.0631795"
"Gladesville - Huntleys Point,-33.84215535,151.147895379963"
"Hunters Hill - Woolwich,-33.8387628,151.1599754"
"Macquarie Park - Marsfield,-33.77964585,151.1144381"
"North Ryde - East Ryde,NA,NA"
"West Ryde - Meadowbank,-33.81640645,151.085110380736"
"Ashcroft - Busby - Miller,-33.9168518666667,150.8887037"
"Austral - Greendale,-33.9216342,150.7380279"
"Bonnyrigg Heights - Bonnyrigg,-33.8912101,150.8695795"
"Bossley Park - Abbotsbury,-33.8657534,150.87557365"
"Cabramatta - Lansvale,-33.9026962965427,150.947610266589"
"Cabramatta West - Mount Pritchard,-33.8966214,150.9121164"
"Canley Vale - Canley Heights,-33.8829447250363,150.918964606849"
"Edensor Park,-33.8802849,150.8762602"
"Fairfield,-33.86744035,150.889322169804"
"Fairfield - West,-33.8689308,150.9243383"
"Greenfield Park - Prairiewood,-33.871534,150.890521"
"Horsley Park - Kemps Creek,-33.8600529,150.81609335"
"Smithfield - Wetherill Park,-33.850816,150.909686"
"St Johns Park - Wakeley,-33.8776389,150.9048611"
"Wetherill Park Industrial,-25,135"
"Casula,-33.9522222,150.8952778"
"Chipping Norton - Moorebank,-33.92647515,150.95637855"
"Holsworthy - Wattle Grove,-32.97634035,133.46628595"
"Gymea - Grays Point,-34.0466449,151.08217625"
"Miranda - Yowie Bay,-34.0419106,151.1035263"
"Sylvania - Taren Point,-34.0170693,151.1107456"
"Heathcote - Waterfall,-34.0798618,151.0041513"
"Illawong - Alfords Point,-33.9981339,151.026096914688"
"Menai - Lucas Heights - Woronora,-34.0304263666667,151.015537466667"
"Oyster Bay - Como - Jannali,-34.0076037666667,151.0700569"
"Royal National Park,-34.11219955,151.026726880046"
"Sutherland - Kirrawee,-34.0339715,151.0713267"
"Castle Hill - South,-33.7317524,151.0069279"
"Cherrybrook,-33.7227778,151.0461111"
"Acacia Gardens,-33.7324595,150.9125321"
"Quakers Hill,-33.7344444,150.8788889"
"Kensington (NSW),-33.9117191,151.2195058"
"Kingsford,-33.9215922,151.2272307"
"Maroubra - North,NA,NA"
"Maroubra - South,-33.9510053,151.249732365499"
"Maroubra - West,-32.4045929656782,115.767671457192"
"Randwick - South,-33.9062434,151.234656837384"
"Bankstown - South,-33.9301773,151.0386111"
"Lakemba,-33.9196311,151.0749236"
"Wiley Park,-33.9229545,151.067336"
"Strathfield South,-33.8966667,151.0788889"
"Hornsby - East,NA,NA"
"Hornsby - West,-33.747383,151.050106"
"Wahroonga (West) - Waitara,-33.75792775,136.4923671"
"Colyton - Oxley Park,-33.7763889,150.79541665"
"St Marys - North St Marys,-33.76186615,150.776494016083"
"Auburn - Central,-33.849979,151.031719537414"
"Auburn - North,-33.8426291,151.0381839"
"Berala,-33.8753943,151.0343253"
"Lidcombe,-33.8630649,151.0456771"
"Regents Park,-33.8820048,151.02569"
"Pendle Hill - Girraween,-33.8079619,150.943456143105"
"Wentworthville - Westmead,NA,NA"
"Putney,-33.826067,151.1064224"
"Badgerys Creek,-33.8831452,150.742466"
"Cecil Hills,-33.89,150.8511111"
"Green Valley,-33.9024601,150.8674187"
"Hinchinbrook,-18.6814155,146.163040303174"
"Hoxton Park - Carnes Hill - Horningsea Park,-33.9377706666667,150.849901233333"
"West Hoxton - Middleton Grange,-33.92319105,150.8384163"
"Lurnea - Cartwright,-33.93045985,150.89428855"
"Warwick Farm,-33.9133304,150.9351023"
"Caringbah,-34.0354477,151.1248018"
"Caringbah South,-34.0554491,151.1205937"
"Cronulla - Kurnell - Bundeena,-34.0547693666667,151.1638918"
"Lilli Pilli - Port Hacking - Dolans Bay,-34.0686817666667,151.1234505"
"Woolooware - Burraneer,-34.0529731,151.1408197"
"Engadine,-34.0650134,151.0138225"
"Loftus - Yarrawarrah,-34.0472748578913,151.033998401973"
"Woronora Heights,-34.034387,151.027167"
"Kellyville - West,-33.7122824,150.9339869"
"Box Hill - Nelson,-37.81655825,145.118607736005"
"Rouse Hill - Beaumont Hills,-33.6865643,150.931534450865"
"Seven Hills - Prospect,-33.7776225572818,150.932449781295"
"Kellyville Ridge - The Ponds,-33.70458335,150.9138889"
"Marsden Park - Shanes Park,-33.7015776,150.8032321"
